title,old_price,new_price
Motorola Moto G24 Dual SIM 128GB Grafite 4GB RAM,899,778
Notebook Samsung Galaxy Book2 I5-1235u Windows 11 Home 8gb 256gb Ssd Grafite,4.665,2.659
Smart Tv LG 50 Led 4k Uhd Wi-fi Bluetooth  Hdr10 50ur871c0sa,3.498,2.098
Mercado Pago: Point Pro2 - A Maquininha De Cartão + Completa,149,118
Electrolux Micro-ondas  MTO30 Branco,850,569
Impressora 3x1 Multifuncional Epson Ecotank L3250 Wifi Biv Cor Preto 100V/240V,1.699,1.029
Motorola Moto G54 5G 128GB Grafite 4GB RAM,1.615,1.099
Notebook Acer Nitro 5 54uh Ci5 W11 8gb 512gb Rtx3050 15.6,5.499,4.579
Geladeira Electrolux DC35 260L Com Freezer Cycle Defrost Branca 127V,3.152,2.199
Creatina Monohidratada 1Kg 100% Pura Soldiers Nutrition,239,192
Caixa Amplificada Amvox Aca 1300 New X 1300w Bluetooth Usb Sem Radio FM,1.269,999
Samsung Galaxy A15 Dual SIM 5G 256GB Azul-escuro 8GB RAM ,1.799,1.084
Impressora Multifuncional Hp Smart Tank 581 4A8D5A Cor Preto 110V/220V,1.089,850
Smart Tv 32 Hd Roku Tv 32s5135/78g Preta Aoc Bivolt,1.399,995
"Notebook Samsung Galaxy Book2, Intel Core I3-1215U, 4GB, 256GB SSD, Windows 11 Home, Tela 15.6"" - NP550XED-KT3BR",2.554,2.299
Creatina Monohidratada 500g 100% Pura Soldiers Nutrition Sabor Natural,139,100
Bicicleta Spinning Com Roda De Inércia De 13kg Wct Fitness Cor Preto,1.999,1.640
Motorola Moto G04 Dual SIM 128GB Grafite 4GB RAM,849,735
Microondas Electrolux 31 Litros Capacidade Prata Mi41s 110V,999,829
Kit 10 Cuecas Masculinas Boxer Microfibra Polo Wear Sortido,199,99
Creatina Monohidratada 600g 100% Pura Soldiers Nutrition,154,119
"Smartphone Motorola Moto G04s Grafite 128gb 4gb+4gb Ram Boost Cam 50mp, Tela 6,6  Gorilla Glass",879,699
Fritadeira Air Fryer Oven Philco Pfr2200 4 Em 1 12l 1800w Cor Preta 110V,998,679
Smart Tv Led 32 Hd Samsung Ls32betblggxzd 2 Hdmi 1 Usb Wifi,1.479,1.049
"Notebook Positivo Vision C14 Lumina Bar Intel 4GB 128GB 14"" HD W11",1.599,1.232
Micro-ondas Philco 20l Branco 1100w Pmo23bb Limpa Fácil 220v,649,479
Medidor De Pressão Arterial Automatico De Braço Gtech La800 Cor Branco,140,109
Samsung Galaxy A15 Dual SIM 4G 256GB Azul claro 8GB RAM ,1.263,1.099
Moletom Liso Algodão Unissex Blusa De Frio Canguru Flanelado,69,55
Smart Tv 43'' Full Hd Com Roku Tv 43s5135/78g Aoc Bivolt,1.999,1.396
"Fritadeira Air Fryer Eaf15 Elétrica 3,2l Preto Electrolux 110V",429,289
Notebook Dell Inspiron I15-i120k-a30pf I5 16gb 512 15.6 W11,3.899,3.599
Câmera Externa Ip Prova D'água Infravermelho Externa Wifi Hd,266,119
Motorola Moto G54 5G 256 GB Vegan Leather Verde 8GB RAM,1.459,1.219
Micro-ondas 32 Litros Consul Cms46ab Branco 110v,749,598
Smart Tv Uhd 50UR8750PSA 50 Polegadas 4k 2023 LG Ashed Blue,3.665,2.199
Jogo De Lençol Queen 3 Peças 400 Fios C/ Elástico Hotel,58,41
Kit 3 Calça Jeans Skinny Masculina Com Lycra Estica Muito Nf,186,169
Pampers fraldas ajuste total pants XG 86 unidades ,154,119
"Samsung Galaxy A15 5G Tela de 6.5"" 90Hz 256GB Dual Chip Azul Claro",1.799,1.299
Notebook Acer Asp3 A315-510p-34xc I3 8gb 256gb Ssd 15.6 W11,3.099,2.279
"Smart TV LG UHD AI ThinQ 55UR871C0SA-C LCD webOS 4K 55"" 100V/220V",3.815,2.289
Micro-ondas Electrolux de bancada Branco com Função Tira Odor e Manter Aquecido 34L MEO44 127v,1.541,679
Impressora a cor multifuncional Epson EcoTank L3250 com wifi preta 110V,1.143,1.028
Samsung Galaxy A15 5G Dual SIM 128GB Azul Claro 4GB RAM,1.499,976
Electrolux PowerSpeed STK12 aspirador de pó vertical com fio 1100W cor preto 110V,269,159
Smart Tv 50'' 4k Uhd 50cu7700 2023 Preta Samsung,3.126,2.369
Monitor Gamer LG Ultragear 24'' 144Hz 1ms Full HD,1.199,869
